1,104,Q1.xml,1
4,3,Q1.xml,2
5,64,Q1.xml,3
7,55,Q1.xml,4
9,54,Q1.xml,5
11,68,Q1.xml,6
13,7,Q1.xml,7
14,41,Q1.xml,8
15,159,Q1.xml,9
16,58,Q1.xml,10
17,52,Q2.xml,1
19,87,Q2.xml,2
21,80,Q2.xml,3
22,42,Q2.xml,4
23,57,Q2.xml,5
25,54,Q2.xml,6
26,82,Q2.xml,7
27,71,Q2.xml,8
29,63,Q2.xml,9
30,52,Q2.xml,10
33,47,Q3.xml,1
35,48,Q3.xml,2
36,53,Q3.xml,3
38,78,Q3.xml,4
40,94,Q3.xml,5
41,171,Q3.xml,6
42,11,Q3.xml,7
43,251,Q3.xml,8
48,156,Q3.xml,9
54,37,Q3.xml,10
55,44,Q4.xml,1
64,12,Q4.xml,2
67,40,Q4.xml,3
82,77,Q4.xml,4
85,61,Q4.xml,5
90,252,Q4.xml,6
108,127,Q4.xml,7
112,71,Q4.xml,8
114,97,Q4.xml,9
123,64,Q4.xml,10
127,111,Q5.xml,1
138,87,Q5.xml,2
147,3,Q5.xml,3
161,298,Q5.xml,4
173,81,Q5.xml,5
177,101,Q5.xml,6
178,94,Q5.xml,7
183,69,Q5.xml,8
185,9,Q5.xml,9
195,125,Q5.xml,10
